,title,artist,lyrics,sentiment
1725,Memory Flow (V2.006),Plastic Noise Experience,"Someone is fighting deep inside me
Connecting the wire, sets the power free
Imprisoned forever, my computer kind
Press 'clear data', the memory will flow your mind

Your mind

Switch off your mind of your defenceless brain
Control your system, use a higher gain
Imprisoned forever, my computer kind
Press 'clear data', the memory will flow your mind

Will flow your mind

Your mind

Someone is fighting deep inside me
Connecting the wire, sets the power free
Imprisoned forever, my computer kind
Press 'clear data', the memory will flow your mind

Will flow your mind

Your mind

Will flow your mind (your mind, your mind)

",5
1726,Image Reflected,Pleasure Symbols,"Image reflected
How could you know?
The hours I was wasting
Careful to move slow

Image reflected
I am exposed
The fear that I am losing
You to the unknown

Power for nothing
We give it for… free
Sacrifice yourself
Cave in to me

Power for nothing
We give it for… free
Sacrifice yourself
Cave in to me

Image reflected
What have we lost?
Love is the highest ask
When we destroy ourselves

Image reflected
You need to know
Your highs are mine and I take them
Your lows, my lowest lows

Power for nothing
We give it for… free
Sacrifice yourself
Cave in to me

Power for nothing
We give it for… free
Sacrifice yourself
Cave in to me

Power for nothing
We give it for… free
Sacrifice yourself
Cave in to me

Power for nothing
We give it for… free
Sacrifice yourself
Cave in to me


",3
1727,Control,Pleasure Symbols,"Your hands
Fall on me
Your hands
Fall on me

Control
Control me
Control
Control me

Tell me now
Show me how
Tell me now
Show me how

Your hands
Fall on me
Your hands
Fall on me

Control
Control me
Control
Control me

Tell me now
Show me how
Tell me now
Show me how


",3
1728,Youth Of The Nation,POD,"Last day of the rest of my life
I wish I would've known
Cause I would've kissed my mama goodbye

I didn't tell her that I loved her and how much I care
Or thank my pops for all the talks
And all the wisdom he shared

Unaware, I just did what I always do
Everyday, the same routine
Before I skate off to school

But who knew that this day wasn't like the rest
Instead of taking a test
I took two to the chest

Call me blind, but I didn't see it coming
Everybody was running
But I couldn't hear nothing

Except gun blasts, it happened so fast
I didn't really know this kid
He wasn't part of the class

Maybe this kid was reaching out for love
Or maybe for a moment
He forgot who he was

Or maybe this kid just wanted to be hugged
Whatever it was
I know it's because

We are, we are, the youth of the nation
We are, we are, youth of the nation
We are, we are, the youth of the nation
We are, we are, youth of the nation

Little Suzy, she was only twelve
She was given the world
With every chance to excel

Hang with the boys and hear the stories they tell
She might act kind of proud
But no respect for herself

She finds love in all the wrong places
The same situations
Just different faces

Changed up her pace since her daddy left her
Too bad he never told her
She deserved much better

Johnny boy always played the fool
He broke all the rules
So you would think he was cool

He was never really one of the guys
No matter how hard he tried
Often thought of suicide

It's kind of hard when you ain't got no friends
He put his life to an end
They might remember him then

You cross the line and there's no turning back
Told the world how he felt
With the sound of a gat

We are, we are, the youth of the nation
We are, we are, youth of the nation
We are, we are, the youth of the nation
We are, we are, youth of the nation

Who's to blame for the lives that tragedies claim
No matter what you say
It don't take away the pain

That I feel inside, I'm tired of all the lies
Don't nobody know why
It's the blind leading the blind

I guess that's the way the story goes
Will it ever make sense
Somebody's got to know

There's got to be more to life than this
There's got to be more to everything
I thought exists

We are, we are, the youth of the nation
We are, we are, youth of the nation
We are, we are, (we are, we are) the youth of the nation
We are, we are, (we are, we are) youth of the nation

We are, we are, (we are, we are) the youth of the nation (the youth of nation)
We are, we are, (we are, we are) youth of the nation (youth of the nation)
We are, we are, (we are, we are) the youth of the nation (the youth of nation)
We are, we are, (we are, we are) youth of the nation (youth of the nation)

(We are) Youth of the nation
(We are) Youth of the nation
(We are) Youth of the nation
(We are…)


",3
1729,Tonight,Porcelain Dream,"Will you come out tonight
Will you come down
Can we be alone tonight
We're leaving this town

There's nothing to fear tonight
So dry all your tears
You're feeling alone inside
I feel it from here

And we will run away and try to find
A place to hide our love tonight
As long as I'm alone with you tonight

Will you come out tonight
Will you come down
Can we be alone tonight
We're leaving this town

And we will run away and try to find
A place to hide our love tonight
As long as I'm alone with you tonight

We place all our dreams on just one kiss
I've never felt a love like this
We'll run away, it all feels right
As long as I'm alone with you tonight

",3
1730,.3,Porcupine Tree,"Black the sky, weapons fly
Lay them waste for your race
Black the sky, weapons fly
Lay them waste for your race
Black the sky, weapons fly
Lay them waste for your race
Black the sky, weapons fly
Lay them waste for your race


",1
1731,Blackest Eyes,Porcupine Tree,"A mother sings a lullaby to a child
Sometime in the future the boy goes wild
And all his nerves are feeling some kind of energy

A walk in the woods and I will try
Something under the trees that made you cry
It’s so erotic when your make-up runs

I got wiring loose inside my head
I got books that I never ever read
I got secrets in my garden shed
I got a scar where all my urges bled
I got people underneath my bed
I got a place where all my dreams are dead
Swim with me into your blackest eyes

A few minutes with me inside my van
Should be so beautiful if we can
I’m feeling something taking over me

I got wiring loose inside my head
I got books that I never ever read
I got secrets in my garden shed
I got a scar where all my urges bled
I got people underneath my bed
I got a place where all my dreams are dead
Swim with me into your blackest eyes

I got wiring loose inside my head
I got books that I never ever read
I got secrets in my garden shed
I got a scar where all my urges bled
I got people underneath my bed
I got a place where all my dreams are dead
Swim with me into your blackest eyes


",3
1732,Collapse The Light Into Earth,Porcupine Tree,"I won’t shiver in the cold
I won’t let the shadows take their toll
I won’t cover my head in the dark
And I won’t forget you when we part

Collapse the light into earth
Collapse the light into earth

I won’t heal given time
I won’t try to change your mind
I won’t feel better in the cold light of day
But I wouldn’t stop you if you wanted to stay

Collapse the light into earth
Collapse the light into earth
Collapse the light into earth
Collapse the light into earth

Collapse the light into earth…


",2
1733,Gravity Eyelids,Porcupine Tree,"Open your eyes now
Hear me out before I lose my mind
I’ve been waiting for hours
Let the salt flow, feel my coil unwind

Give me a smile please
Count the calm and watch my breathing slow
Winding me up tease
Get inside my head and make it show

Oh, yeah, gravity eyelids, gravity eyelids come down
Oh, yeah, gravity eyelids, gravity eyelids come down

Touching your oil skin
Slipping hands down past your waist to find
I’ve been waiting for hours
Let the salt flow, feel my coil unwind
Go to the edge swim
Brown the eyes that sleep has rendered blind

Oh, yeah, gravity eyelids, gravity eyelids come down
Come love so young with your gold arms so I wake her
Here’s a wish that will glow in the dark

Oh, yeah, gravity eyelids, gravity eyelids come down
Come love so young with your gold arms so I wake her
Here’s a wish that will glow in the dark


",4
1734,Heartattack In A Layby,Porcupine Tree,"I pull off the road
East of Baldock and Ashford
Feeling for my cell
In the light from the dashboard

Hissing from the road
The smell of rain in the air con
Maybe check the news
Or just put a tape on

Lighting up a smoke
I’ve got this feeling inside me
Don’t feel too good

If I close my eyes
And fell asleep in this layby
Would it all subside
The fever pushing the day by

Motor window wind
I could do with some fresh air
Can’t breathe too well

(She waits for me)
I guess I should go now
(Home waits for me)
She’s waiting to make up
(She waits for me)
To tell me she’s sorry
(Home waits for me)
And how much she missed me
(She waits for me)
I guess I’m just burnt out
(Home waits for me)
I really should slow down
(She waits for me)
I’m perfectly fine but
(Home waits for me)
I just need to lie down

(She waits for me)
We’ll grow old together
(She waits for me)
We’ll grow old together
(She waits for me)
We’ll grow old together…


",4
1735,Lips Of Ashes,Porcupine Tree,"Paralysed
Lips of ashes
Synchronised
Blue vein crashes

Touching, touching you inside
Inside, inside, inside, inside, inside, inside

Idolised
Black eyes fading
You and I
Connection failing

I drill, I drill down inside
Inside, inside, inside, inside, inside, inside


",2
1736,Prodigal,Porcupine Tree,"I don’t know whose side I’m on
I don’t think that I belong ’round here
If I left the stage would that be wrong?

I tried to find myself a better way
I got religion but I went astray
They took my money and I lost my faith

Rain keeps crawling down the glass
The good times never seem to last
Close your eyes and let the thought pass

I tried the capsule and I tried the smoke
I tried to aid escape like normal folk
But I never seemed to get the joke

Rain keeps crawling down the glass
The good times never seem to last
Close your eyes and let the thought pass
(Close your eyes and let it pass)

These are my old clothes
This is a new low
This is my blood flow
This is my headstone

I spend the days with all my friends
They’re the ones on whom my life depends
I’m gonna miss them when the series ends

Rain keeps crawling down the glass
(Pull yourself together)
The good times never seem to last
(You know it’s not so bad)
Close your eyes and let the thought pass
(Close your eyes and let it pass)


",3
1737,Strip The Soul,Porcupine Tree,"This is my home, this is my own
We don’t like no strangers
Raise the kids good, beat the kids good
And tie them up
Spread it wide, my wife, my life
Push the camera deeper
I can use, I abuse, my muse, I made them all

This machine
Is there to please
Strip the soul
Fill the hole
A fire to feed
A belt to bleed
Strip the soul
Kill them all

They are not gone, they are not gone
They are only sleeping
In graves, in ways, in clay
Underneath the floor
Building walls, overalls, getting bored
I got faulty wiring
Brick it up now, brick it up now
But keep the bones

This machine
Is there to please
Strip the soul
Fill the hole
A fire to feed
(Do you want)
A belt to bleed
(A western home)
Strip the soul
(In the)
Kill them all
(Rubble)

(Do you want a western home in the rubble?)

This machine
Is there to please
Strip the soul
Fill the hole

This machine
Is there to please
Strip the soul
Fill the hole

This machine
Is there to please
Strip the soul
Fill the hole

Strip the soul
Fill the hole

Strip the soul
Fill the hole

Strip the soul
Fill the hole


",3
1738,The Creator Has A Mastertape,Porcupine Tree,"He captured and collected things
And he put them in a shed
He raised a proper family
So he could tie them to a bed

The creator had a mastertape
But he left it in a cab
I stared into the void tonight
The best dream I ever had

He worked himself into the ground
And drove a spike into his head
A voice said ""Are you happy now?
Your sordid home is running red""

The creator had a mastertape
But he left it in a cab
I stared into the void tonight
The best dream I ever had

Pills and chloroform
All the pages torn
Pills and chloroform
All the pages torn
Pills and chloroform
All the pages torn


",4
1739,The Sound Of Muzak,Porcupine Tree,"Hear the sound of music
Drifting in the aisles
Elevator Prozac
Stretching on for miles

The music of the future
Will not entertain
It’s only meant to repress
And neutralise your brain

Soul gets squeezed out
Edges get blunt
Demographic
Gives what you want

One of the wonders of the world is going down
It’s going down I know
It’s one of the blunders of the world that no one cares
No one cares enough

Now the sound of music
Comes in silver pills
Engineered to suit you
Building cheaper thrills

The music of rebellion
Makes you wanna rage
But it’s made by millionaires
Who are nearly twice your age

Soul gets squeezed out
Edges get blunt
Demographic
Gives what you want

One of the wonders of the world is going down
It’s going down I know
It’s one of the blunders of the world that no one cares
No one cares enough

One of the wonders of the world is going down
It’s going down I know
It’s one of the blunders of the world that no one cares
No one cares enough

One of the wonders of the world is going down
It’s going down I know
It’s one of the blunders of the world that no one cares
No one cares enough

One of the wonders of the world is going down
It’s going down I know
It’s one of the blunders of the world that no one cares
No one cares enough


",4
1740,Trains,Porcupine Tree,"Train set and match spied under the blind
Shiny and contoured the railway winds
And I’ve heard the sound from my cousin’s bed
The hiss of the train at the railway head

Always the summers are slipping away

A 60-ton angel falls to the earth
A pile of old metal, a radiant blur
Scars in the country, the summer and her

Always the summers are slipping away
Find me a way for making it stay

When I hear the engine pass
I’m kissing you wide
The hissing subsides
I’m in luck

When the evening reaches here
You’re tying me up
I’m dying of love
It’s OK

When I hear the engine pass
I’m kissing you wide
The hissing subsides
I’m in luck

When the evening reaches here
You’re tying me up
I’m dying of love
It’s OK

(Always the summers are slipping away)
(Find me a way for making it stay)

Always the summers are slipping away
Always the summers are slipping away


",4
1741,Glory Box,Portishead,"I’m so tired, of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I’ve been a temptress too long

Just
Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

From this time, unchained
We’re all looking at a different picture
Through this new frame of mind
A thousand flowers could bloom
Move over, and give us some room

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

So don’t you stop being a man
Just take a little look from our side when you can
Sow a little tenderness
No matter if you cry

Give me a reason to love you
Give me a reason to be a woman
I just wanna be a woman

It’s all I wanna be is a woman

For this is the beginning of forever and ever

It’s time to move over!

It’s all I wanna be…

So tired, of playing
Playing with this bow and arrow
Gonna give my heart away
Leave it to the other girls to play
For I’ve been a temptress too long

Yeah!

Give me a reason to love you


",4
1742,Numb,Portishead,"Unable, so lost
I can’t find my way
Been searching, but I have never seen
A turning, a turning from deceit

’Cause the child roses like
Try to reveal what I could feel

I can’t understand myself anymore
’Cause I’m still feeling lonely
Feeling so unholy

’Cause the child roses like
Try to reveal what I could feel
But this loneliness
It just won’t leave me alone, oh no

I’m fooling somebody
A faithless path I roam
Deceiving to breath this secretly
A silence, this silence I can’t bear

’Cause the child roses like
Tries to reveal what I could feel
And this loneliness
It just won’t leave me alone, oh no
And this loneliness,
Just won’t leave me alone

A lady of war
A lady of war


",2
1743,Roads,Portishead,"Oh, can’t anybody see?
We’ve got a war to fight
Never found our way
Regardless of what they say
How can it feel this wrong?
From this moment
How can it feel this wrong?

Storm in the morning light
I feel no more can I say
Frozen to myself
I got nobody on my side
And surely that ain’t right
And surely that ain’t right

Oh, can’t anybody see?
We’ve got a war to fight
Never found our way
Regardless of what they say
How can it feel this wrong?
From this moment
How can it feel this wrong?

How can it feel this wrong?
From this moment
How can it feel this wrong?

Oh, can’t anybody see?
We’ve got a war to fight
Never found our way
Regardless of what they say
How can it feel this wrong?
From this moment
How can it feel this wrong?


",2
1744,Only You,Portishead,"We suffer everyday, what is it for?
These crowns of illusion are fooling us all
And now I am weary, and I feel like I do

It’s only you, who can tell me apart
And it’s only you, who can turn my wooden heart

The size of our fight, it’s just a dream
We’ve crushed everything, I can see, in this morning selfishly
How we’ve failed, and I feel like I do

It’s only you, who can tell me apart
And it’s only you, who can turn my wooden heart

Now that we’ve chosen to take all we can
This shade of autumn, a stale bitter end
Years of frustration lay down side by side

And it’s only you, who can tell me apart
And it’s only you, who can turn my wooden heart

It’s only you, who can tell me apart
And it’s only you, who can turn my wooden heart


",1
1745,A Meal Can Be Made,Prurient,"Pulled from the quiver
By trace fingers
Slipping through the minder’s
Red suede gloves

A meal can be made
The body is prepared
A meal can be made
The body is prepared

Red arrow sent to hurt
Where will she choose to strike?
Moss rolls around
Wet rock like claws
Arrow strikes fat
Diving through the center of you

Bound by the summer lock
A meal can be made
Bound by the summer lock
A meal can be made

In the distance
The bell is repeating the dull morning trance
Ants scatter in shade
Hornets dart
In the distance
The bell is repeating the dull morning trance
Ants scatter in shade
Hornets dart

Which monster will hear her call?
Whose slave will eat tonight?


",2
1746,Bermuda Drain,Prurient,"Caught on the arocules
Torn from the bark scales
Fallen from the trunk
Entangled in seaweed
Washed away
Like shrimp angiosperm

Don’t let time watch me
Everything you eat
You take
Leave you in the salt ring

Caught on the arocules
Torn from the bark scales
Fallen from the trunk
Entangled in seaweed
Washed away
Like shrimp angiosperm

Don’t let time watch me
Everything you eat
You take
Leave you in the salt ring

Don’t let time watch me
Everything you eat
You take
Leave you in the salt ring


",3
1747,Let's Make a Slave,Prurient,"Leave your family behind
Lock the gates, hide the key
Run along the tracks
Follow forever, whirling alone

Give life to those who hate you
Ask death for yourself
Carry the wounded close
Warm the corpses

Give birth to something dead
Give birth to something cold
Give birth to something dead
Give birth to something cold

Give life to those who hate you
Ask death for yourself

Give birth to something dead
Give birth to something cold
Give birth to something dead
Give birth to something cold


",1
1748,Many Jewels Surround the Crown,Prurient,"Saturday, May 15th
The Mercury is plunging
Your clothes stay on
Down the double helix staircase
Purple and blue lights
Split into icicles
It will freeze tonight
Only we make eye contact
100 euros
15 minutes
Many jewels surround the crown

Many jewels surround the crown

Saturday, May 15th
The Mercury is plunging
Your clothes stay on
Down the double helix staircase
Purple and blue lights
Split into icicles
It will freeze tonight
Only we make eye contact
100 euros
15 minutes
Many jewels surround the crown

Many jewels surround the crown


",4
1749,Myth of Sex,Prurient,"In the desert
Sand dunes drift
Bodies collapse
Skin cracks
Burning in the desert
Burning in time

In the desert
Sand dunes drift
Bodies collapse
Skin cracks
Burning in the desert
Burning in time


",2
1750,Palm Tree Corpse,Prurient,"If I could
I would take a tree branch
And ram it inside you
But it’s already been done

If I could
I would take a tree branch
And ram it inside you
But it’s already been done

If I could
I would take a tree branch
And ram it inside you
Splitting open
Your heart of palm
But it’s already been done
From spoiled plantains
Crawls out
Tarantula


",3
1751,Sugar Cane Chapel,Prurient,"Along the limestone path to the Sugar Cane Chapel
Radially symmetric
Victory flowers are small and white
Toads sick with fever crawl in heat
Behind the fence
Cured in the sun
Salted and smoked
Souls evaporate over Palm Sunday ashes
Peace is coming
In the waterfall rapids
Your ghost is waiting
Dreaming under the canopy fans

Along the limestone path to the Sugar Cane Chapel
Radially symmetric
Victory flowers are small and white
Toads sick with fever crawl in heat

Peace is coming
Peace is coming

Along the limestone path to the Sugar Cane Chapel
Radially symmetric
Victory flowers are small and white
Toads sick with fever crawl in heat
Cured in the sun
Salted and smoked
Souls evaporate over Palm Sunday ashes
Peace is coming
In the waterfall rapids
Your ghost is waiting
Dreaming under the canopy fans

Peace is coming
Peace is coming

Along the limestone path to the Sugar Cane Chapel
Radially symmetric
Victory flowers are small and white
Toads sick with fever crawl in heat
Cured in the sun
Salted and smoked
Souls evaporate over Palm Sunday ashes
Peace is coming
In the waterfall rapids
Your ghost is waiting
Dreaming under the canopy fans

Along the limestone path
To the Sugar Cane Chapel
Radially symmetric
Victory flowers are small and white


",3
1752,There Are Still Secrets,Prurient,"Domination is not the end
Surrender, surrender is
Domination is not the end
Surrender, surrender is

Domination is not the end
Surrender, surrender is

Domination is not the end
Surrender, surrender is
Domination is not the end
Surrender, surrender is

In the day, you wait
At night, you wear

Domination is not the end
Surrender, surrender is
Domination is not the end
Surrender, surrender is


",3
1753,Watch Silently,Prurient,"Your skin is clean as a candle
Your voice is quiet like a lantern

Your skin is clean
As a candle
Your voice is quiet
Like a lantern

Will I find you?
Dancing, splashing
Along the edge of the green stone baths
With the goldfish’s wild eye?

Your skin is clean
As a candle
Your voice is quiet
Like a lantern

Will I find you?
Dancing
Along the edge of the green stone baths
With the goldfish’s wild eye?

Your skin is clean
As a candle
Your voice is quiet
Like a lantern

Will I find you?
Dancing, splashing
Along the edge of the green stone baths
With the goldfish’s wild eye?

Your skin is clean
As a candle
Your voice is quiet
Like a lantern

Will I find you?

Along the edge of the green stone baths
With the goldfish’s wild eye?

Your skin is clean
As a candle
Your voice is quiet
Like a lantern


",5
1754,Time's Arrow,Prurient,"I heard that Elizabeth Short
Came back to Los Angeles.
She wasn’t wearing black anymore,
But she still had a secret, she said.

She told me,
“Now, smoke reverses back into the cigarette”.

I heard that Elizabeth Short
Came back to Los Angeles.
She wasn’t wearing black anymore,
But she still had a secret, she said.

She told me,
“Now, smoke reverses back into the cigarette”.


",3
1755,Superpsycho,Psychopomps,"Here we are, the new breed
Here we are to stay
Here we are, superior
To the human race
We’re here to bring new meaning to your lives
We’re here to spread disorder in your minds
We’re here to change your world and for a start
We’ll tear it apart

Superpsycho!
Bring your new world!
Fuck up our minds any way you want to!

Burn — die — pigs

Come along and join us
Come along and enjoy
Come along you’ve got no choice
Help us destroy
We’re gonna end your total anarchy
We’re gonna bring back true authority
We’re gonna change your world and for a start
We’ll tear it apart

Yeah, you motherfucking fucks
I’m gonna waste ya
I’m gonna hunt you down
You’re gonna bleed, man
Bleed, bleed
Yeah, well you fucking creep
You’re gonna fucking die

Superpsycho!
Bring your new world!
Fuck up our minds any way you want to!

If you need persuasion
If you don’t believe
If you conspire against us
You’ll fucking bleed
You better take us serious
You better not resist
You better try and predict us
This ain’t no fucking game

Get ready for redemption
One promise we’ll keep
We’re gonna fucking kill you
Anytime we please
It’s time to die we’ll fucking bring you down
It’s time to burn we’ll burn you to the ground
It’s time to change your world and for a start
We’ll tear it apart

We’re here to bring new meaning to your lives
We’re here to spread disorder in your minds
We’re going to end your total anarchy
We’re going to bring back true authority
It’s time to die we’ll fucking bring you down
It’s time to burn we’ll burn you to the ground
It’s time to change this world and for a start
We’ll tear it all apart

Burn — die — pigs
Burn — die — pigs


",2
1756,Fineshrine,Purity Ring,"Get a little closer, let fold
Cut open my sternum and pull
My little ribs around you
The rungs of me be under, under you

I'll take the South pockets gladly
Over the rocky cliffs that you leap
To peer over and not forget what feet are
Splitting threads of thunder over me

But I might see with my chest and sink
Into the edges round you
Into the lakes and quarries that brink
On all the edges round you, round you, round you

Get a little closer, let fold
Cut open my sternum and pull
My little ribs around you
Through arms that may be crowns over you

Get a little closer, let fold
Cut open my sternum and pull
My little ribs around you
Though arms that may be under, under you

I'll take the South pockets likely
Over the rocky cliffs that you leap
To peer over and not forget what feet are
Splitting threads of thunder over me

Listen closely, closely to the floor
Emitting all its graces through the pores
You make a fine shrine in me
You'll build a fine shrine in me

But I must see with my chest and sink
Into the edges round you
Into the lakes and quarries that brink
On all the edges round you, round you, round you

Get a little closer, let fold
Cut open my sternum and pull
My little ribs around you
Through arms that may be crowns over you

Get a little closer, let fold
Cut open my sternum and pull
My little ribs around you
Through arms that may be under, under you

",3
1757,Bullet Train to Iowa,Puscifer,"Say bye-bye, kneel down
Yield, pray, and kiss the ground
Gonna be a while before we touch back down
Ain't no turning back
Like a train sprouting wings, fuck the track
Hello, sky... I'm all aboard this surprise locomotion
Oh my. Oh well. Guess I'd better just enjoy the ride

My, oh my
Grinning and chatty tapestries and tile
I'll, I'll try to keep this conversation light
May be up all night
And I surmise there might have been
Ayahuasca hiding in the water and wine
Water and wine
Looks like I'm about to take a bullet train to
Ayahuasca soon
Well, all right
Ride, ride
Choo-choo-choo
Choo-choo-choo
Animistical wayside Sabbatical

Say bye bye

Gonna be a while before we touch back down
Hello, Sky! I'm all aboard this surprise locomotion
Oh my. Oh well. Guess I'll... (pray, kneel and kiss the ground)
Gonna be awhile before we touch back down
Ain't no turning back
Like a train sprouting wings, fuck the track
Hello, sky... I'm all aboard this surprise locomotion
Oh my. Oh well. Guess I'd better just enjoy the ride

Ride

Ride, ride, ride, ride


",5
1758,Momma Sed,Puscifer,"Wake up, son of mine
Momma got something to tell you

Changes come
Life will have its way
With your pride, son
Take it like a man

Hang on, son of mine
A storm is blowing up your horizon

Changes come
Keep your dignity
Take the high road
Take it like a man

Listen up, son of mine
Momma got something to tell you

All about growing pains
Life will pound away
Where the light don’t shine, son
Take it like a man

Suck it up, son of mine
Thunder blowing up your horizon

Changes come (changes come)
Keep your dignity (keep your dignity)
Take the high road, oh (take the high road)
Take it like a man (take it like a man)

Momma said like the rain (this, too, shall pass)
Like a kidney stone (this, too, shall pass)
It’s just a broken heart, son
This pain will pass away


",4
1759,Make It Wit Chu,Queens of the Stone Age,"You wanna know if I know why?
I can’t say that I do
Don’t understand the evil eye
Or how one becomes two
I just can’t recall what started it all
Or how to begin the end
I ain’t here to break it
Just see how far it will bend
Again and again, again and again

I wanna make it
I wanna make it wit chu
Anytime, anywhere
I wanna make it (again and again)
I wanna make it wit chu

Sometimes the same is different
But mostly it’s the same
These mysteries of life
That just ain’t my thing
If I told you that I knew about the sun
And the moon I’d be untrue
The only thing I know for sure
Is what I wan’ do
Anytime, anywhere

I wanna make it (again and again)
I wanna make it wit chu
Anytime, anywhere
I wanna make it (again and again)
I wanna make it wit chu
I wanna make it (anytime, anywhere)
I wanna make it wit chu (yeah)
I wanna make it
I wanna make it wit chu

I wanna make it (again and again)
I wanna make it wit chu
I wanna make it (anytime, anywhere)
I wanna make it wit chu
I wanna make it (again and again)
I wanna make it wit chu
I wanna make it (again and again and again and again and again)


",3
1760,"You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire",Queens of the Stone Age,"K-L-O-N Los Angeles
Clone radio we play the songs that sound
More like everyone else
Than anyone else
Clone

Hey alright, it’s Kip Kasper, Clone radio
LA’s infinite repeat
How we feelin’ out there?
How’s your drive time commute?
I need a saga. What’s the saga?
It’s ""Songs for the Deaf""
You can’t even hear it

Dead bull with the life from the low
I’ll be massive conquistador
Give me soul and show me the door
Metal heavy, soft at the core
Gimme toro, gimme some more
Gimme toro, gimme some more

Pressurize, neutralize
Deep fried, gimme some more

Space trucking, four on the floor
Fortified with the liqour store
This one’s down, gimme some more
Gimme toro, gimme some more
Gimme toro, gimme some more
Gimme toro, gimme some more

Shrunken head I love to adore
B-movie, gimme some gore
Gimme toro, gimme some more
B-movie, gimme some gore!

Uh!

Yow!

Gimme toro, gimme some more
Gimme toro, gimme some more
Gimme toro, gimme some more
Gimme toro, gimme some more


",3
1761,I Believe I Can Fly,R. Kelly,"I used to think that I could not go on
And life was nothing but an distrustful song
But now I know the meaning of true love
I’m leaning on the everlasting arms
If I can see it, then I can do it
If I just believe it, there’s nothing to it

I believe I can fly
I believe I can touch the sky
I think about it every night and day
Spread my wings and fly away
I believe I can soar
I see me running through that open door
I believe I can fly
I believe I can fly
I believe I can fly

See I was on the verge of breaking down
Sometimes silence can seem so loud
There are miracles in life I must achieve
But first I know it starts inside of me
If I can see it, then I can be it
If I just believe it, there’s nothing to it

I believe I can fly
I believe I can touch the sky
I think about it every night and day
spread wings and fly away
I believe I can soar
I see me running through that open door
I believe I can fly
I believe I can fly
I believe I can fly

Hey, ’cause I believe in you
Oh

If I can see it, then I can do it
If I just believe it, there’s nothing to it

I believe I can fly
I believe I can touch the sky
I think about it every night and day
spread wings and fly away
I believe i can soar
I see me running through that open door
I believe I can fly
I believe I can fly
I believe I can fly

If I just spread my wings (I can fly)
I can fly (I can fly)
I can fly (I can fly)
I can fly (I can fly)
If I just spread my wings (I can fly)
I can fly…(I can fly, I can fly)
Woo… I can fly
Hmmmmm… fly, fly, fly


",5
1762,Who Do We Trust,R.A. The Rugged Man,"I’m the last one they should ever let speak
I should save politics for Dead Prez and Immortal Technique
Rugged-Rugged-Rugged-Rugged-Rugged Man!
Immortal Technique
Our way of life is under attack
The survival of our friends is in danger

There’s a new housing plan for the ghetto eventually
Projects for a new American century
False-flag terrorism controlling you mentally
The gospel in the hands of people with no empathy
A mixture of dangerous social chemistry
Between law enforcement and a military entity
Cameras on the corner of every corner you’re facing
Testing out a future gestapo on immigration
Power consolidation, information restricted
Just like the iron law of oligarchy predicted
Incarcerating the poor among the drug addicted
But not the families of the ruling class that’s afflicted
’Cause it’s a fuckin’ caste system like corrupted Hinduism
I think you should listen, I been through the system in prison
I been through religion, carried the cross as a Christian
Like it was antidisestablishmentarianism
Until the seeds of despotism arrested my vision
Lyricism with cynicism and syllogisms
Until they Pedro Albizu Campos and kill me in prison
Chemtrail conditions, stem cells of Leo Strauss’ philosophy
The birth of neo-con policy, but I laughed at America’s fear
Of a New World Order controllin’ the hemisphere
’Cause my people been livin’ that for the past 500 years

Intelligence, understanding
The facts they deserve to know
No governmental plan
Should impose its restraints against your will
Who do we trust? Who do we trust?
The-the facts-
Who do we trust? who do we trust?
Intelligence
Who can I trust? who can I trust?
Knowledge of himself-self-self-self-self-
Who can I trust? Who can I trust?

Expose crimes of the power structure, enter the fire
’Cause the truth is now treason to the U.S. empire
U.S meddlin’ in almost every foreign election
See where the next drone headin’? Civilian dead in the Yemen
Weddin’ barely reported because the weapons were exported from the politicians in the Pentagon, the Saudis bought it
And the babies and the children were slaughtered
The authorization, altercation, deplorable, demoralization
Obedience to authority, colonize the minority
Social norm is to conform to the immoral majority
White superiority, secession of separatism
The terrorism of American exceptionalism
Go to plan B, be free, fuck the TV
Fuck the PD, fuck a Tuskegee VD
Grave plaque, soldier pop, corpse rot, spin over
Monsanto weed killer, non-Hodgkin lymphoma
Whistleblower: men are afraid of, label the threat a traitor
Executive legislator tryna suppress your behavior
Intelligence interrogator collectin’ metadata
Condemnin’ the messenger and censoring the educator
CIA feed the propaganda to the television
In the next edition, the pundits preach it in repetition
Loyal to the monarchy, hereditary or elected
Fuck a royal family and fuck a president selected, yuh

Secret society
The secret oath
Censorship
I-I-Imposing restraints against your will
Who do we trust? Who do we trust?
The-the facts-
Who do we trust? Who do we trust?
Intelligence
Who can I trust? Who can I trust?
Knowledge of himself-self-self-self-self-self-
Who can I trust? Who can I trust?
Informing and alerting
The American people

What’s the cadet motto at Westpoint?
“You will not lie, cheat, or steal, or tolerate those who do!”
I- I- I was a CIA director, we lied, cheated, we stealed- we stole!
It’s like, we had- we had entire training courses!
It, It uh- It it it reminds you of the glory of The American Experiment

",2
